player_id,position,Rk,Gcar,Gtm,Tm,home_away,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,game_date,days_between_games
ramirne01,Pitcher,8,95,23,SFG,NA,LAD,"L,1-5",10-GF(10),NA,1.0,0.1,0,0,0,0,0,0,0,9.35,1,2,1,0,0,0.0,1,0,0,0,NA,3,0,0,0,0,1,0,0,0,0,0,0,0.17,0.004,0.76,0.75,1.0,10t 123 2 out d4,10t end d 4,2017-04-27,2.0
ramirno01,Pitcher,1,32,4,BOS,@,DET,"L,1-4",7-GF(8),NA,99.0,1.2,0,0,0,0,1,0,0,0.0,5,17,13,1,3,0.0,4,1,1,0,NA,2,0,0,0,0,5,0,0,0,0,0,0,0.22,0.027,1.41,5.75,8.0,7b 12- 1 out d3,8b end d 3,2017-04-08,0.0
ramosaj01,Pitcher,1,286,2,MIA,@,WSN,"L,4-6",8-GF(8),NA,99.0,1.0,1,0,0,0,1,0,0,0.0,4,20,11,3,0,1.0,2,1,1,0,NA,0,0,0,0,0,4,1,0,0,0,0,0,0.1,0.006,0.5,3.65,6.0,8b --- 0 out d3,8b end d 3,2017-04-05,0.0
ramosaj01,Pitcher,2,287,3,MIA,@,WSN,"W,4-3",10-GF(10),S(1),0.0,1.0,1,0,0,1,1,0,0,0.0,5,21,14,5,3,0.0,3,1,2,0,NA,0,0,0,0,0,4,0,0,0,0,0,0,4.92,0.2,0.5,3.05,6.0,10b --- 0 out a1,10b end a 1,2017-04-06,1.0
ramosaj01,Pitcher,3,288,7,MIA,NA,ATL,"W,8-4",9-GF,NA,4.0,1.0,0,0,0,0,2,0,0,0.0,3,12,8,3,2,1.0,0,0,0,0,NA,0,0,0,0,0,3,0,0,0,0,0,0,0.17,0.013,0.47,6.25,9.0,9t --- 0 out a4,9t end a 4,2017-04-11,5.0
ramosaj01,Pitcher,4,289,8,MIA,NA,ATL,"L,4-5",9-GF,L(0-1),0.0,1.0,1,1,1,1,1,0,0,2.25,5,13,8,2,1,2.0,1,1,0,0,NA,0,0,0,0,0,4,0,0,0,0,0,0,2.24,-0.312,-0.54,1.05,3.0,9t --- 0 out tie,9t end d 1,2017-04-12,1.0
ramosaj01,Pitcher,5,290,10,MIA,NA,NYM,"W,3-2",9-GF,W(1-1),1.0,1.0,0,0,0,1,0,0,0,1.8,3,15,8,2,2,1.0,1,0,0,0,NA,0,0,0,0,0,2,0,0,0,1,0,0,2.33,0.13,0.47,5.65,15.0,9t --- 0 out tie,9t end tie,2017-04-14,2.0
ramosaj01,Pitcher,6,291,11,MIA,NA,NYM,"W,5-4",9-GF,S(2),0.0,1.0,0,0,0,0,2,0,0,1.5,3,18,11,5,2,1.0,0,0,0,0,NA,0,0,0,0,0,3,0,0,0,0,0,0,2.07,0.154,0.47,6.25,9.0,9t --- 0 out a1,9t end a 1,2017-04-15,1.0
ramosaj01,Pitcher,7,292,15,MIA,@,SEA,"L,5-10",8-8,NA,3.0,0.0,1,2,2,3,0,0,0,4.5,4,23,8,3,1,0.0,1,1,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0.07,-0.01,-2.84,-6.4,-6.0,8b --- 0 out d4,8b 123 0 out d5,2017-04-19,4.0
ramosaj01,Pitcher,8,293,17,MIA,@,SDP,"W,6-3",11-GF(11),S(3),2.0,1.0,1,0,0,0,2,0,0,3.86,4,17,11,4,4,1.0,1,1,0,0,NA,2,1,0,0,0,4,0,0,0,0,0,0,1.29,0.096,0.82,5.65,9.0,11b 1-3 0 out a4,11b end a 3,2017-04-22,3.0
ramosaj01,Pitcher,9,294,18,MIA,@,SDP,"W,7-3",9-GF,NA,0.0,1.0,0,0,0,0,0,0,0,3.38,3,9,6,1,0,2.0,1,0,0,0,NA,0,0,0,0,0,3,0,0,0,0,0,0,0.22,0.017,0.48,2.25,3.0,9b --- 0 out a4,9b end a 4,2017-04-23,1.0
ramosed02,Pitcher,1,43,1,PHI,@,CIN,"W,4-3",7-7,H(1),99.0,1.0,1,0,0,1,1,0,0,0.0,4,17,10,2,4,0.0,2,2,0,0,NA,0,0,0,0,0,3,0,1,0,0,0,0,1.15,0.054,0.5,3.05,6.0,7b --- 0 out a3,7b 3 out a3,2017-04-03,0.0
ramosed02,Pitcher,2,44,3,PHI,@,CIN,"L,4-7",8-GF(8),NA,2.0,0.2,1,0,0,0,0,0,0,0.0,3,4,4,1,0,2.0,1,1,0,0,NA,1,0,0,0,0,3,0,0,0,0,0,0,0.18,0.007,0.52,0.9,2.0,8b 1-- 1 out d3,8b end d 3,2017-04-06,3.0
ramosed02,Pitcher,3,45,5,PHI,NA,WSN,"W,17-3",8-GF,NA,1.0,2.0,1,0,0,0,3,0,0,0.0,7,33,24,7,3,1.0,3,1,1,0,NA,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0.0,0.96,9.9,15.0,8t --- 0 out a13,9t end a14,2017-04-08,2.0
ramosed02,Pitcher,4,46,7,PHI,NA,NYM,"L,3-4",8-8,L(0-1),1.0,0.2,0,1,1,1,1,0,0,2.08,3,12,7,2,2,1.0,0,0,0,0,NA,0,0,0,0,0,2,0,0,0,0,0,0,1.88,0.055,0.26,0.9,2.0,8t --- 0 out tie,8t 1-- 2 out tie,2017-04-10,2.0
ramosed02,Pitcher,5,47,10,PHI,@,WSN,"L,2-3",7-7,BS(1),3.0,1.0,1,1,1,2,1,0,0,3.38,6,24,14,2,3,2.0,1,0,0,0,NA,0,0,0,0,0,4,1,0,1,0,0,0,2.34,-0.14,-0.5,0.45,3.0,7b --- 0 out a1,7b 3 out tie,2017-04-14,4.0
ramosed02,Pitcher,6,48,13,PHI,@,NYM,"W,6-2",7-7,NA,3.0,1.0,1,0,0,0,3,0,0,2.84,4,17,11,2,4,0.0,1,1,0,0,NA,0,0,0,0,0,4,0,0,0,0,0,0,0.6,0.042,0.49,7.65,12.0,7b --- 0 out d1,7b 3 out d1,2017-04-18,4.0
ramosed02,Pitcher,7,49,14,PHI,@,NYM,"L,4-5",8-GF(8),L(0-2),0.0,1.0,2,2,2,0,1,1,0,4.91,5,16,9,3,1,1.0,3,2,0,0,NA,0,0,0,0,0,5,0,0,0,0,0,0,1.01,-0.322,-1.51,-0.95,0.0,8b --- 0 out tie,8b end d 2,2017-04-19,1.0
ramosed02,Pitcher,8,50,17,PHI,NA,ATL,"W,4-3",9-9,BS(2),2.0,1.0,1,1,1,0,3,1,0,5.4,4,21,13,2,2,0.0,1,0,0,0,NA,0,0,0,0,0,4,0,0,0,0,0,0,1.9,-0.209,-0.52,5.65,9.0,9t --- 0 out a1,9t 3 out tie,2017-04-22,3.0
ramosed02,Pitcher,9,51,20,PHI,NA,MIA,"W,3-2",7-7,NA,4.0,0.0,1,1,1,0,0,0,0,6.48,1,2,2,0,0,0.0,1,1,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,1.32,-0.059,-0.38,-2.6,-3.0,7t --- 0 out a2,7t 1-- 0 out a2,2017-04-27,5.0
rayro02,Pitcher,1,65,4,ARI,NA,SFG,"W,9-3",GS-6,NA,99.0,5.2,3,3,3,3,6,1,0,4.76,22,99,56,16,12,8.0,5,0,1,0,54,NA,NA,1,0,0,19,1,0,0,0,0,0,0.92,-0.101,-0.21,15.15,26.0,1t start tie,6t -2- 2 out d1,2017-04-06,0.0
rayro02,Pitcher,2,66,9,ARI,@,SFG,"W,4-3",GS-7,W(1-0),4.0,6.2,4,0,0,5,8,0,0,2.19,29,111,67,20,14,7.0,9,5,2,0,69,NA,NA,0,0,0,24,0,0,0,0,0,0,1.05,0.332,3.21,29.6,56.0,1b start tie,7b 1-- 2 out a3,2017-04-11,5.0
rayro02,Pitcher,3,67,14,ARI,@,LAD,"W,4-2",GS-6,NA,5.0,6.0,3,2,1,4,10,1,0,1.96,25,99,58,19,14,6.0,5,2,0,0,66,NA,NA,0,1,0,19,0,0,0,0,1,1,1.12,0.084,0.79,27.3,45.0,1b start tie,6b 3 out tie,2017-04-17,6.0
rayro02,Pitcher,4,68,19,ARI,NA,LAD,"W,11-5",GS-6,W(2-0),4.0,5.1,9,5,5,2,6,1,0,3.42,25,102,58,18,7,12.0,5,2,0,0,34,NA,NA,0,0,0,23,2,0,0,2,0,0,1.14,-0.079,-1.31,11.4,31.0,1t start tie,6t -23 1 out a3,2017-04-22,5.0
rayro02,Pitcher,5,69,25,ARI,NA,COL,"L,1-3",GS-7,L(2-1),5.0,6.2,5,3,3,3,9,1,0,3.56,28,101,59,17,18,8.0,8,4,1,0,58,NA,NA,0,0,0,24,2,0,0,0,0,0,0.89,-0.006,0.4,22.2,38.0,1t start tie,7t 1-- 2 out d2,2017-04-28,6.0
reedad01,Pitcher,1,334,2,NYM,NA,ATL,"L,1-3",9-9,NA,99.0,1.0,0,0,0,0,1,0,0,0.0,3,17,14,2,1,2.0,0,0,0,0,NA,0,0,0,0,0,3,0,0,0,0,0,0,1.8,0.136,0.49,4.25,6.0,9t --- 0 out tie,9t 3 out tie,2017-04-05,0.0
reedad01,Pitcher,2,335,3,NYM,NA,ATL,"W,6-2",9-GF,NA,0.0,1.0,0,0,0,0,1,0,0,0.0,3,7,6,2,1,1.0,1,0,0,0,NA,0,0,0,0,0,3,0,0,0,0,0,0,0.18,0.014,0.49,4.25,6.0,9t --- 0 out a4,9t end a 4,2017-04-06,1.0
reedad01,Pitcher,3,336,6,NYM,NA,MIA,"W,5-2",9-GF,S(1),2.0,1.0,0,0,0,0,2,0,0,0.0,3,10,7,1,2,1.0,0,0,0,0,NA,0,0,0,0,0,3,0,0,0,0,0,0,0.42,0.032,0.49,6.25,9.0,9t --- 0 out a3,9t end a 3,2017-04-09,3.0
reedad01,Pitcher,4,337,7,NYM,@,PHI,"W,4-3",9-GF,S(2),0.0,1.0,2,1,1,0,2,1,0,2.25,5,25,19,6,0,0.0,3,2,0,0,NA,0,0,0,0,0,5,0,0,0,0,0,0,3.16,0.087,-0.52,3.05,6.0,9b --- 0 out a2,9b end a 1,2017-04-10,1.0
reedad01,Pitcher,5,338,9,NYM,@,PHI,"W,5-4",9-GF,S(3),1.0,1.0,1,0,0,0,1,0,0,1.8,4,17,12,2,2,2.0,1,1,0,0,NA,0,0,0,0,0,4,0,0,0,0,0,0,4.22,0.194,0.48,3.65,6.0,9b --- 0 out a1,9b end a 1,2017-04-12,2.0
reedad01,Pitcher,6,339,10,NYM,@,MIA,"W,9-8",10-11,NA,0.0,2.0,0,0,0,0,0,0,0,1.29,6,16,14,1,2,2.0,4,1,1,0,NA,0,0,0,0,0,6,0,0,0,0,0,0,1.76,0.261,0.93,4.5,6.0,10b --- 0 out tie,11b 3 out tie,2017-04-13,1.0
reedad01,Pitcher,7,340,13,NYM,@,MIA,"L,2-4",9-GF,L(0-1),2.0,0.2,3,2,2,0,1,1,0,3.52,4,10,9,1,0,1.0,2,1,0,0,NA,0,0,0,0,0,4,1,0,0,0,0,0,3.03,-0.37,-1.63,-2.3,-1.0,9b --- 0 out tie,9b end d 2,2017-04-16,3.0
reedad01,Pitcher,8,341,14,NYM,NA,PHI,"L,2-6",9-9,NA,1.0,1.0,0,0,0,0,2,0,0,3.12,3,11,9,5,1,1.0,0,0,0,0,NA,0,0,0,0,0,3,0,0,0,0,0,0,1.8,0.136,0.49,6.25,9.0,9t --- 0 out tie,9t 3 out tie,2017-04-18,2.0
reedad01,Pitcher,9,342,15,NYM,NA,PHI,"W,5-4",9-GF,S(4),0.0,1.0,1,1,1,0,2,0,0,3.72,4,14,10,3,1,0.0,2,0,0,0,NA,0,0,0,0,0,3,0,1,0,0,1,0,1.5,0.072,-0.51,3.65,6.0,9t --- 0 out a2,9t end a 1,2017-04-19,1.0
reedad01,Pitcher,10,343,17,NYM,NA,WSN,"L,3-4",9-9,NA,1.0,1.0,0,0,0,0,0,0,0,3.38,3,17,13,2,0,0.0,3,1,0,0,NA,0,0,0,0,0,3,0,0,0,0,0,0,1.8,0.136,0.49,2.25,3.0,9t --- 0 out tie,9t 3 out tie,2017-04-21,2.0
reedad01,Pitcher,11,344,21,NYM,NA,ATL,"L,5-7",8-8,NA,5.0,1.0,1,0,0,0,3,0,0,3.09,4,11,11,2,6,1.0,0,0,0,0,NA,0,0,0,0,0,4,0,0,0,0,0,0,0.25,0.015,0.49,7.65,12.0,8t --- 0 out d3,8t 3 out d3,2017-04-27,6.0
reedad01,Pitcher,12,345,22,NYM,@,WSN,"W,7-5",8-8,NA,0.0,0.1,3,1,1,0,1,1,0,3.75,4,15,12,4,3,1.0,2,1,0,0,NA,1,1,0,0,0,4,0,0,0,0,0,0,1.45,-0.049,-1.77,-1.05,1.0,8b 1-- 2 out a4,8b 3 out a2,2017-04-28,1.0
reedco01,Pitcher,1,11,3,CIN,NA,PHI,"W,7-4",5-6,W(1-0),99.0,2.0,0,0,0,4,1,0,0,0.0,7,30,12,4,2,2.0,0,0,0,0,NA,0,0,0,0,0,3,0,0,0,2,0,0,2.0,0.141,1.0,8.1,21.0,5t --- 0 out tie,6t 3 out tie,2017-04-06,0.0
reedco01,Pitcher,2,12,7,CIN,@,PIT,"W,7-1",6-8,NA,3.0,3.0,0,0,0,0,4,0,0,0.0,9,35,21,4,8,4.0,1,1,0,0,NA,0,0,0,0,0,9,0,0,0,0,0,0,0.22,0.05,1.49,14.75,21.0,6b --- 0 out a5,8b 3 out a6,2017-04-10,4.0
reedco01,Pitcher,3,13,11,CIN,NA,MIL,"L,4-10",8-GF,NA,3.0,2.0,0,0,0,0,2,0,0,0.0,6,30,19,2,5,3.0,1,1,0,0,NA,0,0,0,0,0,6,0,0,0,0,0,0,0.01,0.001,1.0,8.5,12.0,8t --- 0 out d7,9t end d 7,2017-04-14,4.0
reedco01,Pitcher,4,14,14,CIN,NA,BAL,"W,9-3",7-7,NA,3.0,1.0,0,0,0,0,1,0,0,0.0,3,10,7,1,3,2.0,0,0,0,0,NA,0,0,0,0,0,3,0,0,0,0,0,0,0.12,0.009,0.5,4.25,6.0,7t --- 0 out a6,7t 3 out a6,2017-04-18,4.0
reedco01,Pitcher,5,15,18,CIN,NA,CHC,"L,8-12",GS-2,L(1-1),3.0,2.0,4,7,7,5,3,2,0,6.3,15,69,37,9,10,3.0,4,2,0,0,18,NA,NA,0,0,0,10,1,0,1,0,0,0,1.12,-0.595,-6.0,-8.9,-6.0,1t start tie,2t 3 out d3,2017-04-22,4.0
reedco01,Pitcher,6,16,22,CIN,@,MIL,"L,4-9",4-5,NA,3.0,2.0,3,1,1,2,4,0,0,6.0,11,41,23,4,8,4.0,1,1,0,0,NA,0,0,0,0,0,9,1,0,1,0,0,0,0.13,-0.011,0.0,7.5,15.0,4b --- 0 out d5,5b 3 out d6,2017-04-26,4.0
richacl01,Pitcher,1,207,2,SDP,@,LAD,"W,4-0",GS-8,W(1-0),99.0,8.0,5,0,0,2,5,0,0,0.0,27,99,68,21,13,16.0,4,2,0,0,75,NA,NA,0,0,0,25,0,0,0,4,0,0,0.82,0.368,3.72,27.8,51.0,1b start a 2,8b 3 out a4,2017-04-04,0.0
richacl01,Pitcher,2,208,7,SDP,NA,SFG,"L,3-5",GS-6,L(1-1),4.0,6.0,5,5,4,3,3,2,0,2.57,26,91,57,12,3,12.0,8,4,1,0,44,NA,NA,0,0,0,23,0,0,0,0,0,0,0.58,-0.271,-2.11,6.7,15.0,1t start tie,6t 3 out d5,2017-04-09,5.0
richacl01,Pitcher,3,209,12,SDP,@,ATL,"L,2-4",GS-6,L(1-2),5.0,6.0,9,4,4,2,2,2,0,3.6,27,97,65,16,4,18.0,5,3,0,0,38,NA,NA,0,1,1,25,0,0,0,1,0,0,NA,NA,NA,2.9,12.0,1b start tie,6b 3 out d2,2017-04-15,6.0
richacl01,Pitcher,4,210,17,SDP,NA,ARI,"W,4-1",GS-7,W(2-2),4.0,6.2,9,1,1,0,8,0,0,3.04,28,97,71,19,13,11.0,9,5,1,0,60,NA,NA,1,0,0,28,3,0,0,1,0,0,1.14,0.258,2.05,27.6,53.0,1t start tie,7t -2- 2 out a2,2017-04-20,5.0
richacl01,Pitcher,5,211,22,SDP,@,ARI,"L,3-9",GS-4,L(2-3),4.0,3.2,8,6,6,3,2,1,0,4.45,21,67,38,7,7,9.0,7,5,0,0,20,NA,NA,1,1,1,16,1,1,0,0,0,0,0.64,-0.311,-4.16,-6.35,-1.0,1b start tie,4b 1-- 2 out d5,2017-04-25,5.0
richaga01,Pitcher,1,149,3,LAA,@,OAK,"W,5-0",GS-5,NA,99.0,4.2,3,0,0,1,4,0,0,0.0,18,75,48,14,6,11.0,2,1,0,0,61,NA,NA,0,0,0,17,0,0,0,0,0,0,0.85,0.187,1.88,16.1,26.0,1b start tie,5b 1-3 2 out a5,2017-04-05,0.0
riverfe01,Pitcher,1,125,1,PIT,@,BOS,"L,3-5",7-7,NA,99.0,1.0,1,0,0,0,1,0,0,0.0,4,14,8,3,1,1.0,2,1,0,0,NA,0,0,0,0,0,4,0,0,0,0,0,0,0.53,0.027,0.55,3.65,6.0,7b --- 0 out d2,7b 3 out d2,2017-04-03,0.0
riverfe01,Pitcher,2,126,2,PIT,@,BOS,"L,0-3",9-9,NA,1.0,1.0,0,0,0,0,1,0,0,0.0,3,12,8,1,2,0.0,2,1,0,0,NA,0,0,0,0,0,3,0,0,0,0,0,0,1.88,0.147,0.55,4.25,6.0,9b --- 0 out tie,9b 3 out tie,2017-04-05,2.0
riverfe01,Pitcher,3,127,3,PIT,NA,ATL,"W,5-4",7-7,H(1),1.0,1.0,0,0,0,0,2,0,0,0.0,3,15,12,3,2,1.0,0,0,0,0,NA,0,0,0,0,0,3,0,0,0,0,0,0,0.61,0.046,0.5,6.25,9.0,7t --- 0 out a3,7t 3 out a3,2017-04-07,2.0
riverfe01,Pitcher,4,128,4,PIT,NA,ATL,"W,6-4",7-7,H(2),0.0,1.0,1,0,0,0,0,0,0,0.0,3,7,6,0,1,3.0,0,0,0,0,NA,0,0,0,0,0,3,0,0,0,1,0,0,0.9,0.046,0.5,1.65,3.0,7t --- 0 out a3,7t 3 out a3,2017-04-08,1.0
riverfe01,Pitcher,5,129,5,PIT,NA,ATL,"W,6-5",10-GF(10),W(1-0),0.0,1.0,2,1,1,0,0,0,0,1.8,5,12,9,1,2,2.0,3,1,1,0,NA,0,0,0,0,0,5,0,0,0,0,0,0,2.01,-0.301,-0.5,3.05,12.0,10t --- 0 out tie,10t end d 1,2017-04-09,1.0
riverfe01,Pitcher,6,130,8,PIT,NA,CIN,"L,2-9",7-7,NA,2.0,0.1,1,0,0,0,1,0,0,1.69,2,7,4,2,1,0.0,1,0,0,0,NA,1,1,0,0,0,2,1,0,0,0,0,0,0.04,-0.003,-0.68,2.15,4.0,7t -2- 2 out d7,7t 3 out d8,2017-04-12,3.0
riverfe01,Pitcher,7,131,9,PIT,@,BOS,"L,3-4",7-7,H(3),0.0,0.2,0,0,0,0,0,0,0,1.5,2,8,5,1,1,2.0,0,0,0,0,NA,1,0,0,0,0,2,0,0,0,0,0,0,1.75,0.093,0.57,1.5,2.0,7b 1-- 1 out a2,7b 3 out a2,2017-04-13,1.0
riverfe01,Pitcher,8,132,10,PIT,@,CHC,"W,4-2",8-8,H(4),0.0,1.0,1,0,0,1,1,0,1,1.29,6,26,15,3,2,2.0,1,1,0,0,NA,0,0,0,0,0,4,0,0,0,0,0,0,3.73,0.086,0.49,2.45,6.0,8b --- 0 out a2,8b 3 out a2,2017-04-14,1.0
riverfe01,Pitcher,9,133,12,PIT,@,CHC,"W,6-1",8-8,H(5),1.0,1.0,0,0,0,0,1,0,0,1.12,3,12,11,4,2,2.0,0,0,0,0,NA,0,0,0,0,0,3,0,0,0,0,0,0,1.14,0.086,0.49,4.25,6.0,8b --- 0 out a2,8b 3 out a2,2017-04-16,2.0
riverfe01,Pitcher,10,134,15,PIT,@,STL,"L,1-2",7-7,NA,2.0,1.0,2,0,0,0,2,0,0,1.0,4,23,15,4,3,2.0,0,0,0,0,NA,0,0,0,1,0,4,0,0,0,0,0,0,0.67,0.042,0.49,5.05,9.0,7b --- 0 out d1,7b 3 out d1,2017-04-19,3.0
